"Kod";"Nazwa";"ogółem;2022;[zł]";
0200000;"DOLNOŚLĄSKIE";1674105600,01;
0400000;"KUJAWSKO-POMORSKIE";1574301391,54;
0600000;"LUBELSKIE";1328005763,49;
0800000;"LUBUSKIE";684575469,84;
1000000;"ŁÓDZKIE";1341830946,40;
1200000;"MAŁOPOLSKIE";2140022506,69;
1400000;"MAZOWIECKIE";4494528433,19;
1600000;"OPOLSKIE";675202306,93;
1800000;"PODKARPACKIE";1515746016,11;
2000000;"PODLASKIE";720547598,88;
2200000;"POMORSKIE";1302840512,49;
2400000;"ŚLĄSKIE";2127942471,67;
2600000;"ŚWIĘTOKRZYSKIE";738076409,44;
2800000;"WARMIŃSKO-MAZURSKIE";906592194,69;
3000000;"WIELKOPOLSKIE";2110991148,22;
3200000;"ZACHODNIOPOMORSKIE";1307383868,14;
