"Kod";"Nazwa";"ogółem;ogółem;2022;[GJ]";
0200000;"DOLNOŚLĄSKIE";14336806;
0400000;"KUJAWSKO-POMORSKIE";9474132;
0600000;"LUBELSKIE";7817466;
0800000;"LUBUSKIE";3563818;
1000000;"ŁÓDZKIE";14944756;
1200000;"MAŁOPOLSKIE";15151352;
1400000;"MAZOWIECKIE";39836517;
1600000;"OPOLSKIE";3680830;
1800000;"PODKARPACKIE";5862311;
2000000;"PODLASKIE";6439414;
2200000;"POMORSKIE";14407876;
2400000;"ŚLĄSKIE";30307230;
2600000;"ŚWIĘTOKRZYSKIE";3701400;
2800000;"WARMIŃSKO-MAZURSKIE";7536795;
3000000;"WIELKOPOLSKIE";11750093;
3200000;"ZACHODNIOPOMORSKIE";5213279;
