"Kod";"Nazwa";"ogółem;ogółem;2022;[szt.]";
0200000;"DOLNOŚLĄSKIE";26707;
0400000;"KUJAWSKO-POMORSKIE";9495;
0600000;"LUBELSKIE";7300;
0800000;"LUBUSKIE";6241;
1000000;"ŁÓDZKIE";11029;
1200000;"MAŁOPOLSKIE";21510;
1400000;"MAZOWIECKIE";39100;
1600000;"OPOLSKIE";4453;
1800000;"PODKARPACKIE";6892;
2000000;"PODLASKIE";6349;
2200000;"POMORSKIE";24255;
2400000;"ŚLĄSKIE";18913;
2600000;"ŚWIĘTOKRZYSKIE";3184;
2800000;"WARMIŃSKO-MAZURSKIE";9636;
3000000;"WIELKOPOLSKIE";21913;
3200000;"ZACHODNIOPOMORSKIE";8573;
