"Kod";"Nazwa";"ogółem;obiekty całoroczne lipiec;2022;[ob.]";
0200000;"DOLNOŚLĄSKIE";873;
0400000;"KUJAWSKO-POMORSKIE";314;
0600000;"LUBELSKIE";297;
0800000;"LUBUSKIE";187;
1000000;"ŁÓDZKIE";248;
1200000;"MAŁOPOLSKIE";1143;
1400000;"MAZOWIECKIE";515;
1600000;"OPOLSKIE";102;
1800000;"PODKARPACKIE";460;
2000000;"PODLASKIE";188;
2200000;"POMORSKIE";562;
2400000;"ŚLĄSKIE";560;
2600000;"ŚWIĘTOKRZYSKIE";204;
2800000;"WARMIŃSKO-MAZURSKIE";277;
3000000;"WIELKOPOLSKIE";458;
3200000;"ZACHODNIOPOMORSKIE";508;
