"Kod";"Nazwa";"przystanki autobusowe ( z trolejbusowymi);ogółem;2022;[szt.]";
0200000;"DOLNOŚLĄSKIE";11693;
0400000;"KUJAWSKO-POMORSKIE";11254;
0600000;"LUBELSKIE";12773;
0800000;"LUBUSKIE";3564;
1000000;"ŁÓDZKIE";11789;
1200000;"MAŁOPOLSKIE";15984;
1400000;"MAZOWIECKIE";22858;
1600000;"OPOLSKIE";4570;
1800000;"PODKARPACKIE";10621;
2000000;"PODLASKIE";6998;
2200000;"POMORSKIE";9885;
2400000;"ŚLĄSKIE";14111;
2600000;"ŚWIĘTOKRZYSKIE";13389;
2800000;"WARMIŃSKO-MAZURSKIE";6859;
3000000;"WIELKOPOLSKIE";16379;
3200000;"ZACHODNIOPOMORSKIE";6871;
