"Kod";"Nazwa";"wolne miejsca pracy;2022;[tysiąc]";
0200000;"DOLNOŚLĄSKIE";13,7;
0400000;"KUJAWSKO-POMORSKIE";4,9;
0600000;"LUBELSKIE";2,9;
0800000;"LUBUSKIE";3,2;
1000000;"ŁÓDZKIE";6,6;
1200000;"MAŁOPOLSKIE";13,5;
1400000;"MAZOWIECKIE";36,7;
1600000;"OPOLSKIE";2,7;
1800000;"PODKARPACKIE";3,2;
2000000;"PODLASKIE";2,3;
2200000;"POMORSKIE";8,1;
2400000;"ŚLĄSKIE";14,8;
2600000;"ŚWIĘTOKRZYSKIE";2,0;
2800000;"WARMIŃSKO-MAZURSKIE";2,7;
3000000;"WIELKOPOLSKIE";14,9;
3200000;"ZACHODNIOPOMORSKIE";7,6;
