iter	Passed	Remaining
0	257	256794
1	407	203270
2	532	176803
3	645	160847
4	760	151311
5	879	145646
6	988	140196
7	1094	135698
8	1199	132059
9	1311	129831
10	1415	127279
11	1521	125260
12	1622	123211
13	1727	121674
14	1829	120138
15	1935	119021
16	2040	117990
17	2144	116974
18	2248	116084
19	2355	115410
20	2458	114633
21	2561	113853
22	2665	113233
23	2773	112779
24	2887	112621
25	2999	112365
26	3102	111808
27	3203	111216
28	3308	110762
29	3410	110272
30	3513	109814
31	3615	109380
32	3716	108899
33	3823	108631
34	3928	108315
35	4029	107904
36	4137	107680
37	4237	107269
38	4342	107012
39	4445	106694
40	4545	106323
41	4645	105963
42	4744	105582
43	4843	105229
44	4949	105035
45	5048	104702
46	5153	104496
47	5254	104223
48	5356	103966
49	5456	103682
50	5558	103438
51	5658	103165
52	5759	102915
53	5861	102684
54	5975	102671
55	6089	102645
56	6203	102629
57	6314	102554
58	6425	102477
59	6536	102401
60	6642	102257
61	6745	102050
62	6844	101791
63	6944	101564
64	7044	101330
65	7151	101210
66	7268	101212
67	7378	101133
68	7490	101072
69	7595	100914
70	7696	100709
71	7796	100482
72	7901	100341
73	8004	100164
74	8107	99990
75	8207	99782
76	8312	99640
77	8415	99470
78	8520	99330
79	8624	99182
80	8726	99006
81	8826	98813
82	8924	98604
83	9024	98405
84	9134	98324
85	9245	98261
86	9356	98191
87	9465	98101
88	9567	97933
89	9678	97863
90	9789	97782
91	9895	97661
92	9998	97511
93	10107	97417
94	10208	97244
95	10311	97097
96	10412	96928
97	10510	96744
98	10614	96598
99	10713	96420
100	10812	96243
101	10913	96083
102	11015	95927
103	11114	95753
104	11213	95585
105	11315	95430
106	11420	95315
107	11529	95228
108	11646	95201
109	11758	95137
110	11867	95049
111	11969	94902
112	12070	94744
113	12171	94594
114	12270	94432
115	12373	94293
116	12475	94150
117	12578	94017
118	12687	93933
119	12804	93896
120	12912	93803
121	13018	93689
122	13121	93560
123	13227	93447
124	13338	93369
125	13447	93278
126	13560	93216
127	13669	93125
128	13771	92984
129	13871	92832
130	13975	92706
131	14079	92585
132	14181	92449
133	14282	92305
134	14384	92168
135	14486	92031
136	14587	91887
137	14690	91763
138	14795	91648
139	14900	91530
140	15002	91399
141	15105	91269
142	15210	91156
143	15320	91069
144	15428	90977
145	15534	90864
146	15640	90755
147	15749	90668
148	15860	90585
149	15974	90519
150	16078	90402
151	16178	90261
152	16277	90112
153	16375	89961
154	16478	89835
155	16579	89699
156	16683	89580
157	16786	89458
158	16885	89313
159	16984	89170
160	17086	89038
161	17186	88902
162	17290	88787
163	17396	88679
164	17507	88597
165	17613	88491
166	17718	88381
167	17825	88278
168	17926	88146
169	18026	88009
170	18129	87890
171	18229	87755
172	18327	87613
173	18427	87475
174	18526	87340
175	18626	87207
176	18729	87084
177	18828	86949
178	18928	86816
179	19026	86677
180	19133	86576
181	19243	86491
182	19347	86378
183	19456	86286
184	19564	86189
185	19667	86073
186	19769	85950
187	19870	85822
188	19969	85691
189	20076	85587
190	20189	85513
191	20318	85507
192	20426	85411
193	20533	85309
194	20645	85227
195	20749	85116
196	20849	84985
197	20955	84881
198	21062	84780
199	21171	84686
200	21280	84591
201	21387	84492
202	21493	84386
203	21594	84260
204	21694	84132
205	21802	84036
206	21911	83939
207	22018	83840
208	22118	83710
209	22216	83577
210	22320	83464
211	22432	83381
212	22544	83298
213	22643	83165
214	22745	83048
215	22844	82915
216	22948	82804
217	23050	82685
218	23149	82554
219	23248	82425
220	23353	82320
221	23452	82189
222	23551	82061
223	23650	81932
224	23753	81816
225	23858	81710
226	23968	81619
227	24078	81527
228	24178	81404
229	24278	81279
230	24377	81153
231	24477	81027
232	24578	80908
233	24685	80809
234	24792	80706
235	24893	80587
236	24993	80464
237	25099	80361
238	25201	80244
239	25303	80128
240	25404	80006
241	25506	79891
242	25614	79794
243	25724	79703
244	25835	79616
245	25940	79507
246	26041	79390
247	26143	79273
248	26248	79167
249	26355	79065
250	26464	78970
251	26568	78863
252	26672	78751
253	26773	78632
254	26873	78511
255	26984	78422
256	27092	78324
257	27200	78226
258	27305	78122
259	27407	78005
260	27507	77885
261	27610	77772
262	27716	77669
263	27823	77569
264	27929	77464
265	28031	77350
266	28131	77228
267	28231	77111
268	28332	76992
269	28439	76892
270	28550	76801
271	28660	76708
272	28768	76611
273	28875	76509
274	28976	76391
275	29077	76275
276	29175	76151
277	29276	76035
278	29377	75918
279	29479	75804
280	29587	75706
281	29690	75593
282	29789	75474
283	29889	75355
284	29992	75243
285	30103	75153
286	30215	75064
287	30321	74960
288	30437	74881
289	30536	74760
290	30641	74654
291	30754	74568
292	30866	74479
293	30974	74380
294	31080	74276
295	31181	74160
296	31285	74053
297	31390	73945
298	31493	73835
299	31599	73732
300	31709	73636
301	31811	73525
302	31917	73420
303	32025	73320
304	32128	73210
305	32233	73104
306	32334	72989
307	32435	72874
308	32540	72769
309	32644	72661
310	32747	72549
311	32853	72445
312	32951	72325
313	33056	72219
314	33162	72114
315	33269	72013
316	33368	71894
317	33471	71784
318	33571	71668
319	33671	71551
320	33771	71435
321	33881	71340
322	33986	71234
323	34092	71130
324	34192	71015
325	34298	70911
326	34401	70801
327	34503	70690
328	34605	70577
329	34707	70466
330	34807	70350
331	34907	70234
332	35007	70119
333	35109	70009
334	35212	69900
335	35323	69805
336	35426	69696
337	35525	69579
338	35634	69481
339	35733	69365
340	35838	69259
341	35941	69150
342	36043	69038
343	36149	68935
344	36257	68836
345	36363	68732
346	36471	68633
347	36581	68537
348	36684	68429
349	36785	68316
350	36888	68206
351	36988	68092
352	37089	67980
353	37189	67866
354	37295	67762
355	37398	67653
356	37505	67551
357	37618	67461
358	37727	67363
359	37834	67262
360	37944	67164
361	38052	67064
362	38162	66968
363	38269	66867
364	38378	66767
365	38480	66658
366	38583	66548
367	38688	66442
368	38788	66330
369	38889	66216
370	38989	66103
371	39095	65999
372	39197	65889
373	39298	65777
374	39399	65665
375	39498	65550
376	39609	65454
377	39711	65346
378	39815	65238
379	39914	65123
380	40013	65009
381	40118	64903
382	40222	64796
